video_id,title,month,year,date,views,likes,comments,engagement_rate
jFA9bcPYjWI,Install Google Tag to Track Campaign Conversions,March,2024,25-03-2024,13167,60,1,0.0046
NFfDq8vs-_c,How Zoe Financial uses Google Ads & HubSpot to Find the Right Customers,September,2022,02-09-2022,2454,65,5,0.0285
sLIW0-CX7Xw,Unlocking the power of Google Ads with W.B. Mason,May,2021,13-05-2021,28183,179,27,0.0073
Du0B3N8E34c,Local Services by Google: Helping Gmaids book more jobs,April,2020,14-04-2020,30904,382,26,0.0132
evwpC55OhqM,See how Billy Footwear uses Google Ads to be ready for the holiday retail season,September,2021,23-09-2021,3403,74,8,0.0241
8O6d0S2xY_Q,Introducing Google Ads recommendations on HubSpot,October,2021,13-10-2021,3838,78,2,0.0208
yV2tKCUPf2M,Chulita shares their restaurant story through Google Business Profile and sees their business grow.,December,2023,20-12-2023,1013,22,2,0.0237
w49W2i36z_o,How Delgado Guitars honors Latino heritage and the craft of handmade instruments,November,2021,17-11-2021,4885,84,0,0.0172
PsKUVRcM3Po,How a master tailor in London built an international audience for his shop through YouTube,November,2020,19-11-2020,3738,72,9,0.0217
MDjcQVXQe-8,How Tea Drops serves up delicious beverages to customers around the world,May,2021,24-05-2021,7291,109,0,0.0149
gu5gT3fALuM,How this neighborhood tailor in Hong Kong connected with new customers around the world,November,2020,05-11-2020,17579,136,12,0.0084
cSQNCfIgul4,Tea Drops: How one women-led business is harnessing growth to uplift their community,March,2022,06-03-2022,10979,122,0,0.0111
2MM4z5HEjqA,"Pixel for Business - Annie and Maxwell Peck, Chefs & Owners of Tosh’s Ramen",June,2023,27-06-2023,4149,61,13,0.0178
AfMWD_PS7WY,Honoring Excellence in the Transgender Community: GC2B and The Marsha P. Johnson Institute,November,2020,16-11-2020,988,29,0,0.0294
V7ZvZn_psWk,Celebrating International Small Business Week 2021,June,2021,21-06-2021,30874,426,0,0.0138
SBzw6wDR40Q,"Small Business, Big Dreams",November,2020,28-11-2020,15410,177,0,0.0115
wjjuJAXnvVc,Zoe Financial: driving growth through higher-quality leads,July,2022,07-07-2022,2020,69,38,0.053
WCn7046pz50,Local Services by Google: Book local jobs and grow your business,August,2019,22-08-2019,621561,116,8,0.0002
WrKjj8SCtbM,"The Google Pixel empowers La La Anthony to run her life, hair care empire, & everything in between",May,2025,02-05-2025,1202,32,2,0.0283
QEtpU16vSN8,How to Set Preferred Ordering Links for your Restaurant Business with Google,February,2024,01-02-2024,1743,29,6,0.0201
rZxL4yyAzVY,Learn more about Google Local Services Ads today,September,2022,12-09-2022,2345,76,8,0.0358
Hq4Kx6F7adw,LinkedIn for Small Business,September,2015,04-09-2015,11063,96,3,0.0089
_h8qA7_BJag,Switch On Automatic Optimizations with Auto Apply Recommendations,March,2024,25-03-2024,2108,56,1,0.027
uaQQXHoRriU,Help your Campaigns Expand your Ad Visibility with Ad Assets,March,2024,25-03-2024,3425,75,2,0.0225
NM0lj_u539I,Talley and Twine: On legacy and leading the conversation as a Black-owned business,January,2022,31-01-2022,12311,145,0,0.0118
Ob1rwBQsJS8,"Reconnect with your customers, with a little help from Google",June,2021,25-06-2021,4119,88,4,0.0223
TNjTyQK4uKk,Show Customers Your Services with a Google Business Profile,March,2021,04-03-2021,3829,84,0,0.0219
pNvf62N-KSU,Help your Campaigns Expand your Ad Visibility with Ad Assets,March,2024,25-03-2024,2718,26,3,0.0107
uu3tlj4BJ44,"Pixel for Business - Eric LeGrand, Founder of LeGrand Coffee House",September,2022,16-09-2022,5525,141,20,0.0291
71B8kvuKrZo,Pixel for Business - Spartan,July,2024,30-07-2024,6376,54,3,0.0089
#NAME?,Celebrating Small Business Heroes,June,2022,23-06-2022,37867,290,0,0.0077
eHcHjO1WPQs,Switch On Automatic Optimizations with Auto Apply Recommendations,March,2024,25-03-2024,1560,27,0,0.0173
xo4bsvWpcEc,Grow your business with the Google Ads tool on HubSpot,October,2021,13-10-2021,3316,63,4,0.0202
X8JcP3qrTeo,#SmallThanks x Google Holiday Livestream,October,2018,18-10-2018,543765,190,35,0.0004
iRiiS0ccew8,How this healthy beauty brand virtually connected with customers during the pandemic,September,2020,30-09-2020,8366,87,10,0.0116
p1u2P5UnYps,How The Breakfast Klub keeps serving up smiles,September,2020,30-09-2020,7564,77,10,0.0115
H2WAqStGfpo,Ariat: Finding success online with Google,September,2020,01-09-2020,9091,101,11,0.0123
k7VTh2xmPHQ,How Talley & Twine uses Google Ads & Shopify to Stand Out to Customers,November,2021,19-11-2021,15625,105,0,0.0067
NZhz7LkK4R8,Pixel for Business: La La Anthony,November,2024,27-11-2024,4423,71,6,0.0174
qClcvwNPUvU,How this family owned business is bringing diversity and culture to playrooms across the country,May,2021,13-05-2021,3540,57,0,0.0161
rQTFRzv2wbk,How women-led GrillzandGranola helps their community through fitness and mental health programs,November,2020,20-11-2020,1794,44,6,0.0279
cK8gqokXSGA,How a business owner from Chicago grows awareness of her unique curly-hair products with YouTube,November,2020,19-11-2020,2199,55,7,0.0282
cp8gQfoF8Eo,How gc2b uses Google Ads to reach the LGTBQ+ community and allies world wide,June,2021,02-06-2021,2511,57,0,0.0227
eAWqzhqYzsY,"Small business, Big Dreams: Maps",December,2020,01-12-2020,2072,36,0,0.0174
pI9p7QQ3Vu8,How to add your social links to your Business Profile,June,2024,06-06-2024,1239,35,6,0.0331
IeIPa1VaKqc,@ReverendDaveCiancio shares 3 things you can do to spice up your Google Business Profile 👀🌶️,April,2025,03-04-2025,2108,23,1,0.0114
sfrKgexyOec,"Small Business, Big Dreams: Search",December,2020,01-12-2020,2352,43,0,0.0183
dVhKchHGA10,Pinterest for Small Business,September,2015,18-09-2015,6655,75,9,0.0126
JZK__9TvV8E,Beekman 1802: How Kindness and Community Can Build a Business,May,2022,26-05-2022,62198,218,0,0.0035
5MaFjAMdQCk,Installing the Google Channel App Cartridge,June,2023,27-06-2023,1072,32,9,0.0382
4dkDoXhjXME,‘Tis the Season for Small Business: Digital Marketing Tips for the Holidays,October,2014,29-10-2014,4125,54,11,0.0158
PxVM4EyS9tY,Drive Digital 2018,March,2018,27-03-2018,3107,69,2,0.0229
emGSypppzpY,"Small Business, Big Dreams: Reviews",November,2020,30-11-2020,2122,38,0,0.0179
Pa-zZUAsn5E,How NYC Chinatown’s first dim sum restaurant stays connected to their community and customers,May,2021,20-05-2021,2345,40,0,0.0171
PdzFl4orkJE,Help Holiday Shoppers Find Your Business,October,2016,26-10-2016,12209,79,0,0.0065
b_0U5N_L7pU,En savoir plus sur les Annonces Local Services de Google,September,2022,12-09-2022,2302,27,5,0.0139
YttlYAF2xdA,Hangout on Air: Ask the SBA Administrator,August,2014,27-08-2014,4915,76,9,0.0173
zdQIyJ1MQq4,Bikes & Hikes shares their story through Google Business Profile and sees their business grow.,December,2023,20-12-2023,752,23,4,0.0359
ix4hnPGYNe0,Attract More Holiday Shoppers This Season,November,2016,16-11-2016,1841,54,1,0.0299
2zd_M68jQIY,Weitere Informationen zu Google Lokale Dienstleistungen,September,2022,12-09-2022,2029,39,7,0.0227
tyVPgeWCJds,True Story: How to Create a Video For Your Business,December,2014,04-12-2014,5849,66,7,0.0125
Hbf9bTDDxa8,Attracting Loyal Customers with Belly,November,2015,20-11-2015,8289,77,4,0.0098
fcbhgr28jeg,"Google Business Profile: Connect, Engage & Grow",January,2024,12-01-2024,1961,79,6,0.0433
cUfezIsaRus,what more could you ask for? 🌞,March,2025,11-03-2025,1137,48,2,0.044
mAJmR8yVF_I,Did we miss any? Tell us below ✨,June,2025,05-06-2025,369,6,0,0.0163
sOllGsCx31M,How this Chicago plant shop grows their business with the help of digital tools,September,2021,28-09-2021,6615,113,7,0.0181
a5nBTd973Jw,Android and Chrome for Work: Devices to Power Small Business,March,2016,16-03-2016,5166,52,7,0.0114
3RpfjNPbx2Y,Getting Started with Email Marketing,October,2014,23-10-2014,9735,64,8,0.0074
XqVz3m3uj9g,Work Life Harmony for Small Businesses,July,2015,30-07-2015,5911,33,3,0.0061
30mOnMto7U0,Beck Paint & Hardware - Why independent stores should be on Google,June,2023,26-06-2023,1182,38,9,0.0398
rceDPYIK7vo,"Pixel for Business - Bryan Jacobs, Principal Partner of RealSmart Properties",March,2023,24-03-2023,3918,82,15,0.0248
h2XiF-HSE9Q,"Pixel for Business - Colleen Echohawk, CEO of Eighth Generation",October,2023,19-10-2023,2967,42,10,0.0175
AwdY_usxYNQ,Connecting Small Businesses Research Livestream,January,2018,17-01-2018,3288,91,3,0.0286
oam8NnZXt74,Meet Chotu Tapriwala! See how your reviews help small businesses like theirs thrive & build a brand.,June,2025,03-06-2025,1355,17,0,0.0125
Of4az-LwS34,Online Branding:  Win Customers in the Moment,March,2015,05-03-2015,13660,0,11,0.0008
Q8CIyAfWEAc,Panel Discussion: Stories of Resilience,June,2021,24-06-2021,4898,67,0,0.0137
aLHnBuwJEfc,Pixel for Business — Gary Williams Jr. co-founder of Creative Theory,June,2021,21-06-2021,3953,61,5,0.0167
SFEvsuTD9bc,Mother-in-Law’s: How family traditions helped build a business,May,2022,02-05-2022,30474,235,0,0.0077
ycgbtL_VP0U,Pixel for Business - Detroit Voltage,June,2024,25-06-2024,1328,36,6,0.0316
FCeajaXjU5g,Pixel for Business - Equator Studio,June,2024,18-06-2024,1214,26,5,0.0255
7-qRUsQay9c,Pixel for Business: Sea Bags,March,2025,14-03-2025,1227,36,2,0.031
jBV4AWHjGwk,Frances Modern Inn shares their story through Google Business Profile and sees their business grow.,December,2023,20-12-2023,1380,36,5,0.0297
ZEqaLaO3zAg,Marketing Wonderland,November,2017,01-11-2017,20805,359,0,0.0173
bVI4F8ykToM,Install Google Tag to Track Campaign Conversions,March,2024,25-03-2024,2378,66,1,0.0282
3nld4OkhuvA,Pixel for Business - Highlands Community Charter School,April,2024,08-04-2024,1378,44,1,0.0327
thWqAPSiwQ8,YouTube for Small Business,September,2015,11-09-2015,13599,140,23,0.012
b5Jyqzm5idw,How Eberjey helps customers embrace the softer side of life,September,2022,15-09-2022,61041,515,0,0.0084
7LIlTMq8AxA,Twitter for Small Business,September,2015,25-09-2015,16611,141,14,0.0093
mlmUAWHkr7Q,"Pixel for Business - SaVonne Anderson, Founder of Aya Paper Co",December,2022,15-12-2022,4179,109,18,0.0304
6U5kRSf8mYI,How Cluey Learning uses Google Ads & HubSpot to Effectively Scale,September,2022,02-09-2022,1653,31,2,0.02
bUhf-4QEguE,Pixel for Business — Heather Andersen founder of New York Pilates,September,2021,20-09-2021,5611,93,5,0.0175
vxAfbGsO8zA,"Pixel for Business - Brandon Kim, co-founder of Brevitē",December,2021,21-12-2021,5034,65,4,0.0137
nt3yfCkGU9c,"Pixel for Business - Casey Dworkin, Founder & Creative Director of Sylven New York",June,2022,28-06-2022,3380,58,2,0.0178
ztW7CtWTrrU,Scopri di più sugli Annunci di Servizi locali di Google,September,2022,12-09-2022,0,29,5,0
VEhSsDnN2rU,How to Add Photos of Your Menu (and Menu Items) to Your Business Profile,March,2024,19-03-2024,1063,31,4,0.0329
vNOwLz1iulI,International Women’s Day: Women entrepreneurs who are changing the world,March,2022,07-03-2022,16119,289,0,0.0179
#NAME?,Find New Customers with a Google Business Profile,February,2021,12-02-2021,27790,476,0,0.0171
SznQhX5h6fw,June 24 is YouTube Small Biz Day - Join Us!,June,2021,21-06-2021,5190042,318,33,0.0001
JCJftYaIDtM,Gamescape - How Google Helped This Tabletop Gaming Store Grow,October,2023,17-10-2023,1360,38,7,0.0331
waXEohm95lc,How skincare brand Root Science grew their business with Google Ads and WooCommerce,February,2023,01-02-2023,3920,119,17,0.0347
kdubh5iDVX0,How to use AI to Convert Menu Photos & PDFs into GBP Menu,May,2025,06-05-2025,967,36,0,0.0372
fq516WG0TAc,Pixel for Business - Jack and Bec,April,2024,30-04-2024,1408,21,3,0.017
aHNkw81iIOY,How Local Guides are supporting Local Indian businesses on Google Maps,November,2024,06-11-2024,2383,144,27,0.0718
YN7RrsJfX5Q,Pixel for Business: Cohere Commerce,June,2025,06-06-2025,449,27,1,0.0624
lYCx7ZqA1uo,Grow Your Business with Google Listings & Ads by WooCommerce,May,2021,27-05-2021,27522,185,0,0.0067
Zlj-jGdJebI,Local Services by Google: Helping Access Garage Door reach customers better,April,2020,14-04-2020,4295,54,6,0.014
ThVI0wVg9j4,Más información sobre Anuncios de Servicios Locales de Google,September,2022,12-09-2022,2765,47,1,0.0174
#NAME?,"50 states, 50 stories of businesses using Google Workspace with Gemini.",January,2025,31-01-2025,1443,40,2,0.0291
ODJQ20THkRA,Pixel for Business: 3.1 Phillip Lim,October,2024,29-10-2024,1474,31,3,0.0231
09rZyzzbaKc,Molak CMO Anna Tauzin reveals 3 game-changing online growth tips. 👀,April,2025,17-04-2025,701,8,0,0.0114
zqcnhxeI-Zo,Google Business Profile: Tips for Restaurants,April,2024,12-04-2024,2393,68,6,0.0309
qFtGTGgYHpU,Boost Your Business with Google Business Profile: Tips from Google's Farah Shirzadi,September,2024,06-09-2024,2893,85,4,0.0308
O7IU5-d3evw,Panel Discussion: Secrets to Success on YouTube,June,2021,24-06-2021,6526,146,0,0.0224
J2UWJgjszPg,Micro-Moments: The New Battleground for Brands,June,2015,11-06-2015,34968,416,15,0.0123
